Word,DocId:Occurrence
Hoje,"[(1, 1), (6, 1), (7, 1), (15, 1), (20, 1), (37, 3), (49, 1), (59, 1), (60, 1), (69, 1), (83, 1), (97, 1), (108, 1), (120, 2), (138, 1), (153, 2), (156, 1), (157, 2), (162, 1), (168, 3), (177, 1), (178, 1), (184, 1), (188, 1), (189, 1), (194, 1), (198, 1), (203, 2), (205, 1), (207, 1), (213, 1), (217, 1), (234, 1)]"
compatível,"[(1, 1)]"
foi,"[(1, 2), (3, 6), (4, 5), (5, 3), (6, 13), (7, 7), (9, 1), (10, 2), (11, 4), (13, 2), (14, 4), (16, 2), (17, 5), (19, 6), (21, 4), (22, 3), (23, 1), (24, 2), (25, 3), (26, 2), (27, 1), (28, 1), (29, 2), (31, 3), (32, 3), (34, 2), (36, 1), (37, 2), (38, 3), (41, 1), (42, 1), (43, 1), (45, 3), (46, 2), (47, 11), (49, 1), (50, 4), (51, 2), (52, 1), (53, 1), (54, 3), (55, 4), (56, 7), (57, 4), (58, 2), (60, 3), (63, 13), (64, 4), (65, 5), (66, 2), (67, 2), (69, 5), (70, 3), (71, 2), (73, 6), (75, 1), (77, 4), (78, 2), (79, 2), (80, 4), (82, 1), (84, 5), (87, 1), (88, 3), (89, 2), (90, 2), (91, 1), (93, 1), (94, 2), (95, 6), (96, 1), (97, 2), (98, 3), (101, 4), (102, 3), (103, 1), (104, 4), (105, 2), (106, 2), (107, 12), (108, 4), (109, 3), (110, 1), (111, 3), (112, 3), (113, 3), (114, 6), (115, 5), (116, 2), (117, 1), (118, 1), (119, 4), (120, 3), (121, 2), (122, 2), (123, 2), (124, 1), (125, 2), (126, 5), (127, 4), (129, 2), (131, 4), (134, 2), (137, 2), (138, 3), (139, 6), (140, 3), (141, 1), (142, 2), (143, 5), (145, 2), (146, 5), (147, 1), (149, 1), (151, 20), (152, 2), (153, 1), (156, 1), (157, 1), (158, 1), (159, 1), (161, 3), (162, 8), (164, 3), (165, 2), (166, 8), (168, 4), (169, 2), (170, 2), (171, 3), (172, 4), (174, 2), (175, 3), (177, 8), (178, 1), (180, 4), (181, 4), (182, 1), (183, 2), (184, 9), (187, 2), (188, 2), (189, 4), (190, 2), (191, 2), (192, 1), (193, 3), (194, 3), (195, 4), (196, 1), (197, 16), (198, 3), (199, 2), (200, 1), (201, 3), (202, 3), (204, 4), (205, 2), (206, 1), (207, 14), (208, 4), (209, 1), (210, 4), (211, 6), (212, 4), (213, 1), (214, 8), (215, 2), (216, 7), (217, 7), (218, 4), (219, 4), (220, 2), (222, 2), (223, 10), (224, 4), (225, 3), (226, 5), (227, 3), (228, 1), (229, 12), (230, 15), (231, 1), (232, 2), (233, 6), (235, 1), (237, 2), (238, 3), (239, 1), (240, 3), (241, 3), (242, 3), (243, 4), (244, 7), (245, 1), (246, 2), (247, 2), (248, 6), (249, 8)]"
reconstrução,"[(1, 1), (108, 1), (182, 1), (212, 1), (248, 1)]"
Carta,"[(1, 1)]"
democráticos,"[(1, 1), (95, 1), (129, 1), (151, 1), (152, 1), (166, 1), (210, 2), (248, 4)]"
refiro,"[(1, 2)]"
golpe,"[(1, 4), (2, 2), (3, 7), (25, 13), (83, 1), (98, 2), (99, 1), (114, 2), (120, 1), (151, 1), (165, 5), (166, 7), (169, 1), (172, 3), (200, 1), (208, 6), (216, 3), (223, 3), (228, 2), (229, 3), (230, 5), (233, 3)]"
fim,"[(1, 1), (6, 1), (7, 1), (11, 1), (16, 2), (31, 1), (32, 1), (39, 1), (41, 2), (46, 1), (47, 1), (50, 1), (51, 1), (55, 2), (63, 2), (65, 2), (69, 1), (71, 1), (73, 1), (75, 1), (76, 2), (81, 1), (88, 2), (95, 2), (97, 1), (103, 2), (104, 1), (111, 1), (115, 1), (124, 1), (134, 1), (137, 2), (138, 3), (139, 1), (140, 1), (149, 1), (150, 1), (151, 2), (158, 2), (167, 2), (169, 2), (180, 1), (181, 1), (182, 1), (185, 1), (190, 1), (204, 1), (205, 3), (206, 1), (210, 1), (212, 1), (215, 1), (216, 1), (225, 1), (235, 1), (241, 1), (245, 1), (246, 1), (248, 3), (249, 2)]"
dura,"[(1, 5), (37, 1), (49, 1), (82, 2), (90, 1), (104, 5), (107, 5), (113, 1), (121, 1), (132, 1), (163, 1), (164, 6), (180, 1), (216, 13), (223, 9), (236, 2)]"
caráter,"[(1, 1), (15, 1), (36, 1), (60, 1), (89, 1), (97, 1), (120, 1), (149, 1), (239, 1), (247, 1)]"
liminar,"[(1, 1), (2, 3), (119, 1), (217, 1)]"
tentou,"[(1, 1), (2, 1), (4, 1), (9, 1), (11, 1), (19, 1), (38, 1), (46, 1), (56, 1), (91, 1), (97, 1), (146, 1), (168, 1), (172, 1), (184, 2), (207, 1), (226, 1), (230, 1), (237, 1), (249, 1)]"
cita,"[(1, 2), (16, 1), (32, 2), (47, 1), (66, 1), (102, 2), (123, 1), (138, 1), (144, 2)]"
preferem,"[(1, 1), (63, 1), (65, 1), (125, 1), (172, 1), (174, 1), (176, 1), (240, 1)]"
citando,"[(1, 1), (205, 1)]"
compromisso,"[(1, 1), (3, 1), (60, 1), (73, 1), (86, 1), (90, 1), (103, 1), (111, 1), (116, 1), (133, 1), (173, 1), (207, 1), (209, 1), (215, 2), (222, 1)]"
Paiva,"[(1, 1), (6, 2), (7, 1), (208, 1)]"
rememorar,"[(1, 1), (2, 1)]"
